k0,S
0.135335325,49.99998761
0.135335539,49.99995402
1.078456673,40.57513416
56.7211969,49.99999993
3.551497922,13.05317856
12.38960635,49.9999999
10.16518447,49.999965100000004
147.9177512,49.99999984
13.11826744,49.99999984
22.30513369,49.99999978
43.27970963,49.99999994
98.02290536,49.99999974
57.73564275,49.99999968
79.61402498,49.99999964
150.4332227,49.99999974
97.88530507,49.99999964
58.33373494,19.21487052
99.21064805,49.99999922
827.0072415,49.99999989
145.4406439,49.99999631
351.2691175,49.99999975
352.98473110000003,49.99999962
485.131933,49.99999978
368.9636224,49.99999948
271.7088814,49.9999898
591.4648742,49.99999962
552.6420489,49.99999953
1074.7471,49.99999991
603.3631544,49.999989500000005
1234.830736,49.9999999
737.6019918,49.99999774
1575.793629,49.99999988
1977.6373609999998,49.99999976
1125.299969,49.99999736
2473.835884,49.99999983
1813.0906,49.99999978
63.48977199,18.95826539
3903.706165,49.99999987
3262.087155,49.99999991
4469.875771,49.99999984
3727.6661229999995,49.99999981
4417.999287,49.99999981
5157.9190579999995,49.99999982
4166.798264,49.99999972
6191.1794820000005,49.99999981
9590.741743999999,49.99999984
7613.273123999999,49.99999981
14250.920419999999,49.99999975
17853.25725,49.99999822
21269.06533,49.9999985
32325.795469999997,49.99999975
24077.291259999998,49.999997799999996
33823.0996,49.999993700000005
36829.35265,49.99999831
41230.311389999995,49.99999766
55352.62997,49.99999846
50191.026939999996,49.99999054
64855.4762,49.99999788
73243.83237999999,49.99999979
199145.1164,49.99999987
77825.00869,49.99999966
86624.02212000001,49.99999811
209504.9833,49.99999981
113064.7763,49.99999717
223718.5892,49.99999815
155291.0282,49.99999724
215894.8349,49.99999966
598794.7771,49.99999959
1080528.011,49.99999977
1096282.09,49.99999976
1104424.953,49.99999966
1119237.326,49.9999935
3218.97031,17.83738439
116880.8289,17.77306264
645.9265991000001,6.89070942
1966.314075,9.040292049
1328.06664,7.768359222999999
3831.236557,8.62900254
98354721.03,22.54225947
383860801.2,23.54193292
182241.8209,12.693971300000001
1.522547708,49.999353899999996
1.502261675,39.06202849
14.74770526,7.063234023
32.92193828,49.99999995
242.71672059999997,49.99999786
2020.969991,45.4264495
25781.6068,49.99999798
1.323444197,4.942016815
107.022326,49.99999369
1298.116792,49.99999992
26161.51962,49.99999389
11038.79492,17.22196387
5.693567657000001,32.97549338
1284.4581050000002,49.99999992
0.135335698,49.99992336
